period ,district ,flood incidence
20230615,101 Taplejung,1
20230617,101 Taplejung,1
20230620,101 Taplejung,1
20190617,101 Taplejung,1
20230813,101 Taplejung,1
20160809,101 Taplejung,1
20160716,101 Taplejung,1
20230713,101 Taplejung,1
20180806,101 Taplejung,1
20220818,101 Taplejung,1
20170526,101 Taplejung,1
20230617,102 Sankhuwasabha,1
20230618,102 Sankhuwasabha,1
20230619,102 Sankhuwasabha,1
20230620,102 Sankhuwasabha,1
20190601,102 Sankhuwasabha,1
20190617,102 Sankhuwasabha,1
20190624,102 Sankhuwasabha,1
20190726,102 Sankhuwasabha,1
20230813,102 Sankhuwasabha,1
20190715,102 Sankhuwasabha,1
20160517,102 Sankhuwasabha,1
20190519,102 Sankhuwasabha,1
20170420,102 Sankhuwasabha,1
20180720,102 Sankhuwasabha,1
20150723,102 Sankhuwasabha,1
20170802,103 Solukhumbu,1
20160911,103 Solukhumbu,1
20211020,103 Solukhumbu,1
20170812,103 Solukhumbu,1
20170730,103 Solukhumbu,1
20170622,103 Solukhumbu,1
20190913,103 Solukhumbu,1
20210506,103 Solukhumbu,1
20160720,104 Okhaldhunga,1
20190901,104 Okhaldhunga,1
20190712,104 Okhaldhunga,1
20180714,104 Okhaldhunga,1
20150830,104 Okhaldhunga,1
20170626,104 Okhaldhunga,1
20210526,104 Okhaldhunga,1
20230624,105 Khotang,1
20190711,105 Khotang,1
20150703,105 Khotang,1
20150704,105 Khotang,1
20200506,105 Khotang,1
20210804,105 Khotang,1
20230614,106 Bhojpur,1
20211019,106 Bhojpur,1
20230623,106 Bhojpur,1
20230731,106 Bhojpur,1
20190421,106 Bhojpur,1
20230821,106 Bhojpur,1
20211019,107 Dhankuta,1
20160925,107 Dhankuta,1
20230623,107 Dhankuta,1
20180910,108 Terhathum,1
20200728,108 Terhathum,1
20200727,108 Terhathum,1
20190414,108 Terhathum,1
20230615,109 Panchthar,1
20230617,109 Panchthar,1
20230618,109 Panchthar,1
20230619,109 Panchthar,1
20230620,109 Panchthar,1
20230616,109 Panchthar,1
20200803,109 Panchthar,1
20190712,109 Panchthar,1
20230627,109 Panchthar,1
20200804,109 Panchthar,1
20170812,109 Panchthar,1
20190406,109 Panchthar,1
20200516,109 Panchthar,1
20230617,110 Ilam,1
20190713,110 Ilam,1
20190712,110 Ilam,1
20190711,110 Ilam,1
20190715,110 Ilam,1
20170812,110 Ilam,1
20170816,110 Ilam,1
20210503,110 Ilam,1
20160720,111 Jhapa,1
20170716,111 Jhapa,1
20190713,111 Jhapa,1
20190724,111 Jhapa,1
20190725,111 Jhapa,1
20211019,111 Jhapa,1
20220629,111 Jhapa,1
20160721,111 Jhapa,1
20200704,111 Jhapa,1
20230623,111 Jhapa,1
20230714,111 Jhapa,1
20190712,111 Jhapa,1
20200720,111 Jhapa,1
20190711,111 Jhapa,1
20190715,111 Jhapa,1
20170811,111 Jhapa,1
20160726,111 Jhapa,1
20160725,111 Jhapa,1
20170812,111 Jhapa,1
20170813,111 Jhapa,1
20170814,111 Jhapa,1
20200908,111 Jhapa,1
20190822,111 Jhapa,1
20200901,111 Jhapa,1
20230713,111 Jhapa,1
20180912,111 Jhapa,1
20230712,111 Jhapa,1
20160719,111 Jhapa,1
20220628,111 Jhapa,1
