,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Asar 2072,503 PYUTHAN,701
Asar 2072,109 PANCHTHAR,147
Asar 2072,112 MORANG,"1,356"
Asar 2072,708 KAILALI,"1,554"
Asar 2072,406 LAMJUNG,259
Asar 2072,313 CHITWAN,360
Asar 2072,203 DHANUSA,"1,534"
Asar 2072,201 SAPTARI,665
Asar 2072,113 SUNSARI,381
Asar 2072,205 SARLAHI,176
Asar 2072,507 NAWALPARASI WEST,359
Asar 2072,601 DOLPA,26
Asar 2072,504 GULMI,283
Asar 2072,702 BAJHANG,781
Asar 2072,106 BHOJPUR,484
Asar 2072,403 MUSTANG,7
Asar 2072,302 SINDHUPALCHOK,900
Asar 2072,4 Gandaki Province,"5,376"
Asar 2072,207 BARA,650
Asar 2072,101 TAPLEJUNG,262
Asar 2072,307 BHAKTAPUR,263
Asar 2072,204 MAHOTTARI,"1,127"
Asar 2072,509 KAPILBASTU,"1,031"
Asar 2072,Nepal,"46,342"
Asar 2072,103 SOLUKHUMBU,232
Asar 2072,311 SINDHULI,986
Asar 2072,105 KHOTANG,381
Asar 2072,107 DHANKUTA,300
Asar 2072,705 DADELDHURA,784
Asar 2072,2 Madhesh Province,"6,653"
Asar 2072,308 LALITPUR,336
Asar 2072,606 DAILEKH,967
Asar 2072,501 RUKUM EAST,292
Asar 2072,410 PARBAT,237
Asar 2072,111 JHAPA,"1,307"
Asar 2072,709 KANCHANPUR,688
Asar 2072,707 ACHHAM,497
Asar 2072,114 UDAYAPUR,578
Asar 2072,3 Bagmati Province,"9,041"
Asar 2072,110 ILAM,157
Asar 2072,301 DOLAKHA,361
Asar 2072,306 KATHMANDU,"1,331"
Asar 2072,208 PARSA,490
Asar 2072,202 SIRAHA,"1,100"
Asar 2072,506 PALPA,593
Asar 2072,6 Karnali Province,"4,195"
Asar 2072,5 Lumbini Province,"8,739"
Asar 2072,407 TANAHU,584
Asar 2072,706 DOTI,216
Asar 2072,603 HUMLA,73
Asar 2072,512 BARDIYA,790
Asar 2072,1 Koshi Province,"6,699"
Asar 2072,312 MAKWANPUR,388
Asar 2072,610 SURKHET,"1,118"
Asar 2072,411 BAGLUNG,"1,103"
Asar 2072,7 Sudurpashchim Province,"5,639"
Asar 2072,402 MANANG,10
Asar 2072,604 JUMLA,172
Asar 2072,704 BAITADI,426
Asar 2072,602 MUGU,78
Asar 2072,404 MYAGDI,165
Asar 2072,608 RUKUM WEST,504
Asar 2072,309 KAVREPALANCHOK,"1,916"
Asar 2072,605 KALIKOT,132
Asar 2072,305 NUWAKOT,812
Asar 2072,102 SANKHUWASABHA,426
Asar 2072,510 DANG,"1,391"
Asar 2072,108 TERHATHUM,244
Asar 2072,401 GORKHA,792
Asar 2072,405 KASKI,"1,322"
Asar 2072,701 BAJURA,454
Asar 2072,502 ROLPA,775
Asar 2072,607 JAJARKOT,327
Asar 2072,408 NAWALPARASI EAST,303
Asar 2072,508 RUPANDEHI,"1,623"
Asar 2072,304 DHADING,"1,041"
Asar 2072,609 SALYAN,798
Asar 2072,310 RAMECHHAP,308
Asar 2072,409 SYANGJA,594
Asar 2072,206 RAUTAHAT ,911
Asar 2072,703 DARCHULA,239
Asar 2072,511 BANKE,486
Asar 2072,505 ARGHAKHANCHI,415
Asar 2072,303 RASUWA,39
Asar 2072,104 OKHALDHUNGA,444
Asar 2073,306 KATHMANDU,"1,687"
Asar 2073,505 ARGHAKHANCHI,364
Asar 2073,313 CHITWAN,649
Asar 2073,112 MORANG,"2,454"
Asar 2073,206 RAUTAHAT ,"1,133"
Asar 2073,107 DHANKUTA,448
Asar 2073,311 SINDHULI,889
Asar 2073,503 PYUTHAN,501
Asar 2073,504 GULMI,803
Asar 2073,701 BAJURA,404
Asar 2073,507 NAWALPARASI WEST,809
Asar 2073,408 NAWALPARASI EAST,977
Asar 2073,113 SUNSARI,666
Asar 2073,4 Gandaki Province,"6,464"
Asar 2073,601 DOLPA,133
Asar 2073,201 SAPTARI,"1,055"
Asar 2073,702 BAJHANG,700
Asar 2073,106 BHOJPUR,424
Asar 2073,606 DAILEKH,"1,077"
Asar 2073,110 ILAM,187
Asar 2073,705 DADELDHURA,469
Asar 2073,501 RUKUM EAST,247
Asar 2073,410 PARBAT,298
Asar 2073,402 MANANG,4
Asar 2073,204 MAHOTTARI,"1,383"
Asar 2073,205 SARLAHI,"1,061"
Asar 2073,207 BARA,"1,096"
Asar 2073,101 TAPLEJUNG,301
Asar 2073,203 DHANUSA,"1,453"
Asar 2073,509 KAPILBASTU,957
Asar 2073,403 MUSTANG,3
Asar 2073,302 SINDHUPALCHOK,500
Asar 2073,312 MAKWANPUR,475
Asar 2073,Nepal,"51,771"
Asar 2073,105 KHOTANG,441
Asar 2073,603 HUMLA,41
Asar 2073,103 SOLUKHUMBU,165
Asar 2073,406 LAMJUNG,562
Asar 2073,301 DOLAKHA,182
Asar 2073,114 UDAYAPUR,482
Asar 2073,707 ACHHAM,386
Asar 2073,111 JHAPA,"1,668"
Asar 2073,709 KANCHANPUR,511
Asar 2073,202 SIRAHA,"1,650"
Asar 2073,308 LALITPUR,320
Asar 2073,3 Bagmati Province,"7,386"
Asar 2073,208 PARSA,803
Asar 2073,6 Karnali Province,"4,703"
Asar 2073,506 PALPA,974
Asar 2073,602 MUGU,98
Asar 2073,409 SYANGJA,792
Asar 2073,608 RUKUM WEST,401
Asar 2073,2 Madhesh Province,"9,634"
Asar 2073,407 TANAHU,731
Asar 2073,610 SURKHET,"1,290"
Asar 2073,704 BAITADI,458
Asar 2073,411 BAGLUNG,888
Asar 2073,304 DHADING,981
Asar 2073,510 DANG,"1,485"
Asar 2073,512 BARDIYA,898
Asar 2073,309 KAVREPALANCHOK,582
Asar 2073,305 NUWAKOT,491
Asar 2073,404 MYAGDI,148
Asar 2073,307 BHAKTAPUR,252
Asar 2073,706 DOTI,305
Asar 2073,102 SANKHUWASABHA,395
Asar 2073,604 JUMLA,172
Asar 2073,7 Sudurpashchim Province,"5,171"
Asar 2073,605 KALIKOT,155
Asar 2073,508 RUPANDEHI,"1,672"
Asar 2073,511 BANKE,607
Asar 2073,703 DARCHULA,241
Asar 2073,401 GORKHA,411
Asar 2073,310 RAMECHHAP,333
Asar 2073,609 SALYAN,910
Asar 2073,104 OKHALDHUNGA,318
Asar 2073,405 KASKI,"1,650"
Asar 2073,303 RASUWA,45
Asar 2073,1 Koshi Province,"8,369"
Asar 2073,502 ROLPA,727
Asar 2073,607 JAJARKOT,426
Asar 2073,708 KAILALI,"1,697"
Asar 2073,5 Lumbini Province,"10,044"
Asar 2073,109 PANCHTHAR,206
Asar 2073,108 TERHATHUM,214
Asar 2074,708 KAILALI,749
Asar 2074,507 NAWALPARASI WEST,431
Asar 2074,203 DHANUSA,"1,252"
Asar 2074,205 SARLAHI,737
Asar 2074,503 PYUTHAN,613
Asar 2074,406 LAMJUNG,391
Asar 2074,505 ARGHAKHANCHI,397
Asar 2074,101 TAPLEJUNG,194
Asar 2074,109 PANCHTHAR,177
Asar 2074,112 MORANG,"2,473"
Asar 2074,204 MAHOTTARI,807
Asar 2074,108 TERHATHUM,245
Asar 2074,202 SIRAHA,"1,076"
Asar 2074,306 KATHMANDU,"1,441"
Asar 2074,6 Karnali Province,"3,518"
Asar 2074,110 ILAM,255
Asar 2074,702 BAJHANG,341
Asar 2074,305 NUWAKOT,963
Asar 2074,303 RASUWA,16
Asar 2074,308 LALITPUR,612
Asar 2074,307 BHAKTAPUR,266
Asar 2074,502 ROLPA,704
Asar 2074,403 MUSTANG,16
Asar 2074,311 SINDHULI,700
Asar 2074,401 GORKHA,500
Asar 2074,405 KASKI,"1,529"
Asar 2074,302 SINDHUPALCHOK,329
Asar 2074,107 DHANKUTA,233
Asar 2074,105 KHOTANG,400
Asar 2074,313 CHITWAN,837
Asar 2074,602 MUGU,103
Asar 2074,408 NAWALPARASI EAST,356
Asar 2074,504 GULMI,531
Asar 2074,106 BHOJPUR,386
Asar 2074,510 DANG,"1,242"
Asar 2074,707 ACHHAM,332
Asar 2074,312 MAKWANPUR,246
Asar 2074,114 UDAYAPUR,584
Asar 2074,404 MYAGDI,187
Asar 2074,208 PARSA,673
Asar 2074,603 HUMLA,172
Asar 2074,703 DARCHULA,261
Asar 2074,709 KANCHANPUR,835
Asar 2074,609 SALYAN,615
Asar 2074,310 RAMECHHAP,281
Asar 2074,402 MANANG,1
Asar 2074,411 BAGLUNG,745
Asar 2074,610 SURKHET,804
Asar 2074,509 KAPILBASTU,602
Asar 2074,606 DAILEKH,769
Asar 2074,511 BANKE,628
Asar 2074,407 TANAHU,550
Asar 2074,1 Koshi Province,"7,299"
Asar 2074,410 PARBAT,328
Asar 2074,501 RUKUM EAST,190
Asar 2074,506 PALPA,820
Asar 2074,705 DADELDHURA,283
Asar 2074,104 OKHALDHUNGA,277
Asar 2074,5 Lumbini Province,"7,399"
Asar 2074,3 Bagmati Province,"6,873"
Asar 2074,309 KAVREPALANCHOK,475
Asar 2074,601 DOLPA,73
Asar 2074,301 DOLAKHA,94
Asar 2074,102 SANKHUWASABHA,438
Asar 2074,206 RAUTAHAT ,772
Asar 2074,103 SOLUKHUMBU,168
